Contact	Latencies
8000	20799.4559
16000	20350.6296
2500	8545.7000
10500	19481.1974
18500	23005.1405
5000	20265.7273
13000	20394.8679
7500	21423.4242
15500	20552.1579
2000	8545.7000
10000	19720.1733
18000	22600.6000
4500	18312.0250
12500	20364.4314
7000	21984.9032
15000	20848.2290
1500	8658.6667
9500	20254.7222
17500	22602.5029
4000	10571.4000
12000	18640.6829
6500	22639.1167
14500	21029.1694
1000	8658.6667
9000	20514.1831
17000	22586.8214
3500	9255.2857
11500	18769.6000
6000	21944.1404
14000	20627.2623
500	8658.6667
8500	20799.4559
16500	21141.9448
3000	9912.0000
11000	19006.8481
19000	29651.4564
5500	21970.3396
13500	21165.3077

